Plot_1;Plot_2
21;1
1;0
1;0
17;0
1;1
2;0
3;0
2;0
4;1
1;0
13;0
6;2
3;1
0;1
0;2
0;1
0;1
0;1
1;0
1;0
3;1
1;0
1;0
1;0
0;1
2;0
2;0
1;2
3;0
1;1
20;0
5;0
